combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
0,bio0_whs0_land1_list500_bld250,False,False,1,500,250,1195639,1161465,48991772720.8,4899177.3,48991.8,528.8
1,bio0_whs0_land1_list500_bld500,False,False,1,500,500,509815,499576,20988383670.8,2098838.4,20988.4,227.4
2,bio0_whs0_land1_list500_bld750,False,False,1,500,750,267259,263738,11251605553.1,1125160.6,11251.6,120.1
3,bio0_whs0_land1_list500_bld1000,False,False,1,500,1000,158863,156640,6757245711.6,675724.6,6757.2,71.3
4,bio0_whs0_land1_list500_bld1250,False,False,1,500,1250,96841,95472,4145004898.2,414500.5,4145.0,43.5
5,bio0_whs0_land1_list1000_bld250,False,False,1,1000,250,1104195,1074801,45085407204.0,4508540.7,45085.4,489.3
6,bio0_whs0_land1_list1000_bld500,False,False,1,1000,500,502475,492796,20690516926.7,2069051.7,20690.5,224.3
7,bio0_whs0_land1_list1000_bld750,False,False,1,1000,750,266882,263389,11237538485.4,1123753.8,11237.5,119.9
8,bio0_whs0_land1_list1000_bld1000,False,False,1,1000,1000,158848,156626,6756608368.7,675660.8,6756.6,71.3
9,bio0_whs0_land1_list1000_bld1250,False,False,1,1000,1250,96837,95468,4144822800.2,414482.3,4144.8,43.5
10,bio0_whs0_land1_list1500_bld250,False,False,1,1500,250,979211,956554,39766325685.0,3976632.6,39766.3,435.5
11,bio0_whs0_land1_list1500_bld500,False,False,1,1500,500,484834,476320,19964856541.5,1996485.7,19964.9,216.8
12,bio0_whs0_land1_list1500_bld750,False,False,1,1500,750,264078,260671,11121405509.0,1112140.6,11121.4,118.7
13,bio0_whs0_land1_list1500_bld1000,False,False,1,1500,1000,158115,155910,6727336121.1,672733.6,6727.3,71.0
14,bio0_whs0_land1_list1500_bld1250,False,False,1,1500,1250,96682,95324,4139587483.7,413958.7,4139.6,43.4
15,bio0_whs0_land2_list500_bld250,False,False,2,500,250,1026638,995234,41442082195.8,4144208.2,41442.1,453.1
16,bio0_whs0_land2_list500_bld500,False,False,2,500,500,412185,403101,16604875964.7,1660487.6,16604.9,183.5
17,bio0_whs0_land2_list500_bld750,False,False,2,500,750,211254,208198,8726817286.7,872681.7,8726.8,94.8
