combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
0,bio0_whs0_land1_list500_bld250,False,False,1,500,250,914769.1,26481.6,240824.6,78611.7,395840.0,95519.5,84338.7,60092.3,48501.8,232684.8,242053.7,207755.6,202492.9,142487.1,321129.8,253657.9,96999.0,639842.2,13529.9,25826.0,74805.8,92300.9,72.8,73007.6,77018.3,163219.0,95314.6
1,bio0_whs0_land1_list500_bld500,False,False,1,500,500,551975.3,3478.1,156130.8,52394.1,260163.4,61007.4,52225.7,40425.7,12027.6,124300.1,126762.9,97131.1,75252.0,63579.5,78611.7,66993.8,22707.6,118513.9,2849.8,2849.8,24114.3,24009.6,0.0,8654.2,11590.5,33870.2,27219.1
2,bio0_whs0_land1_list500_bld750,False,False,1,500,750,336767.4,646.4,92792.6,30865.6,173798.8,38709.5,29554.5,27637.9,4907.5,67849.7,67298.9,51838.7,30414.9,30292.0,22388.9,22138.6,5117.0,42087.4,1361.2,582.7,11281.0,9705.8,0.0,1607.0,1784.6,7716.4,16015.5
3,bio0_whs0_land1_list500_bld1000,False,False,1,500,1000,215749.7,241.3,54574.8,17822.8,117143.6,23996.0,16853.2,18264.4,2918.1,40826.4,40739.9,31361.8,14394.8,14718.1,7602.6,8909.1,2153.3,20950.4,901.4,250.4,5972.8,5663.2,0.0,473.5,400.6,2631.3,10211.1
4,bio0_whs0_land1_list500_bld1250,False,False,1,500,1250,140643.4,59.2,31275.3,10115.5,78233.8,14554.2,9605.7,11344.7,1579.7,24874.6,25334.4,19343.4,6892.4,7443.3,2385.5,3687.5,1156.3,10816.6,641.9,77.4,3191.3,3605.5,0.0,159.3,122.9,1015.2,6341.6
5,bio0_whs0_land1_list1000_bld250,False,False,1,1000,250,907835.7,25748.7,239732.0,78411.4,389457.5,94768.3,83847.0,59400.4,44618.6,226739.3,232939.7,196360.8,189978.3,132694.8,291793.8,222523.7,87179.4,513766.6,11522.2,23317.6,66625.1,72138.1,72.8,53668.8,56828.2,127468.6,79103.4
6,bio0_whs0_land1_list1000_bld500,False,False,1,1000,500,551028.4,3437.1,155807.6,52325.8,259271.1,60916.3,52016.3,40261.9,11690.7,123207.5,125092.2,95533.1,73909.0,62414.1,76390.1,64221.4,22047.5,112390.9,2781.5,2767.9,23768.3,22197.7,0.0,7866.6,10215.7,31261.7,26231.2
7,bio0_whs0_land1_list1000_bld750,False,False,1,1000,750,336717.3,646.4,92765.3,30865.6,173639.5,38709.5,29522.6,27624.3,4898.4,67740.4,67166.8,51711.3,30351.2,30196.4,22352.5,22056.6,5107.8,41946.3,1361.2,582.7,11212.7,9587.5,0.0,1593.4,1770.9,7634.5,15992.8
8,bio0_whs0_land1_list1000_bld1000,False,False,1,1000,1000,215749.7,241.3,54574.8,17822.8,117111.8,23996.0,16853.2,18264.4,2918.1,40826.4,40739.9,31357.3,14394.8,14713.5,7602.6,8909.1,2153.3,20941.3,901.4,250.4,5968.3,5663.2,0.0,473.5,400.6,2622.2,10211.1
9,bio0_whs0_land1_list1000_bld1250,False,False,1,1000,1250,140643.4,59.2,31275.3,10115.5,78220.2,14554.2,9605.7,11344.7,1579.7,24874.6,25334.4,19343.4,6892.4,7443.3,2385.5,3687.5,1156.3,10816.6,641.9,77.4,3186.7,3605.5,0.0,159.3,122.9,1015.2,6341.6
10,bio0_whs0_land1_list1500_bld250,False,False,1,1500,250,895812.7,24428.4,237423.9,77860.5,378722.8,93083.9,82686.1,57907.2,38782.3,215581.2,217447.7,178451.5,171404.3,118318.2,244184.3,175765.5,73522.1,354089.5,8818.1,19898.8,56086.2,45306.0,63.7,33633.5,31716.9,84907.7,60729.7
11,bio0_whs0_land1_list1500_bld500,False,False,1,1500,500,548224.1,3318.7,154519.2,52084.6,256926.6,60602.2,51328.9,39620.0,10903.1,120362.2,120958.6,92023.2,71223.1,59414.0,70622.1,57433.7,20354.0,98938.4,2535.7,2572.1,22184.1,17372.1,0.0,6642.0,6947.0,24860.9,24514.9
12,bio0_whs0_land1_list1500_bld750,False,False,1,1500,750,336025.4,646.4,92346.4,30788.2,172729.0,38586.6,29099.3,27323.8,4834.7,66980.2,66247.2,51051.2,30109.9,29399.7,21997.4,21305.5,5007.7,40794.5,1315.7,569.1,10812.1,8781.7,0.0,1575.1,1475.0,6860.5,15478.3
13,bio0_whs0_land1_list1500_bld1000,False,False,1,1500,1000,215599.4,241.3,54456.4,17809.2,116652.0,23977.7,16671.1,18150.6,2918.1,40612.4,40466.7,31170.6,14358.4,14454.0,7575.3,8781.7,2135.1,20750.1,901.4,250.4,5877.2,5444.7,0.0,473.5,396.1,2499.3,10111.0
14,bio0_whs0_land1_list1500_bld1250,False,False,1,1500,1250,140638.8,59.2,31252.6,10115.5,78074.5,14549.6,9569.2,11326.5,1579.7,24851.8,25293.4,19306.9,6887.9,7356.8,2385.5,3669.3,1147.2,10803.0,641.9,77.4,3159.4,3596.4,0.0,159.3,122.9,1010.6,6323.4
15,bio0_whs0_land2_list500_bld250,False,False,2,500,250,861532.8,26481.6,240824.6,78611.7,226224.9,81821.2,84215.8,39014.5,48501.8,232589.2,240669.8,159704.5,184478.9,55353.2,219928.8,178456.0,96999.0,606809.6,10147.4,14677.1,40635.2,92300.9,72.8,73007.6,62049.9,130209.1,58890.5
16,bio0_whs0_land2_list500_bld500,False,False,2,500,500,515851.7,3478.1,156130.8,52394.1,128693.2,51205.9,52130.1,25275.2,12027.6,124209.0,126007.2,65687.3,64713.1,16848.6,36683.6,30642.5,22707.6,103609.2,796.7,705.6,4588.9,24009.6,0.0,8654.2,7807.5,22270.6,3359.7
17,bio0_whs0_land2_list500_bld750,False,False,2,500,750,314091.7,646.4,92792.6,30865.6,80082.1,32163.1,29472.6,16411.6,4907.5,67776.9,67075.8,33492.4,24674.3,6787.7,8299.1,6154.9,5117.0,35058.4,50.1,36.4,896.8,9705.8,0.0,1607.0,951.5,3250.4,314.1
18,bio0_whs0_land2_list500_bld1000,False,False,2,500,1000,201577.9,241.3,54574.8,17822.8,51811.4,19775.8,16775.8,10393.2,2918.1,40780.8,40703.4,21118.8,11258.2,3282.3,2963.6,2185.2,2153.3,17467.7,0.0,9.1,277.7,5663.2,0.0,473.5,113.8,637.3,59.2
19,bio0_whs0_land2_list500_bld1250,False,False,2,500,1250,131884.5,59.2,31275.3,10115.5,33665.4,12036.7,9541.9,5977.4,1579.7,24865.5,25334.4,13898.6,5312.7,1711.7,978.8,910.5,1156.3,9259.7,0.0,0.0,104.7,3605.5,0.0,159.3,9.1,163.9,9.1
20,bio0_whs0_land2_list1000_bld250,False,False,2,1000,250,855145.7,25748.7,239732.0,78411.4,220311.2,81106.4,83724.1,38459.1,44618.6,226643.7,231560.3,149520.6,172333.0,50086.0,194676.4,150271.8,87179.4,484162.1,8199.0,13311.4,33742.8,72138.1,72.8,53668.8,45114.8,98150.8,45187.6
21,bio0_whs0_land2_list1000_bld500,False,False,2,1000,500,515045.9,3437.1,155807.6,52325.8,128069.5,51119.5,51920.7,25138.6,11690.7,123116.4,124336.5,64435.4,63424.7,16370.6,35099.4,28425.5,22047.5,97864.0,742.0,655.6,4479.6,22197.7,0.0,7866.6,6760.4,20263.0,2818.0
22,bio0_whs0_land2_list1000_bld750,False,False,2,1000,750,314041.6,646.4,92765.3,30865.6,80023.0,32163.1,29440.7,16397.9,4898.4,67667.6,66943.8,33374.0,24610.5,6778.6,8276.4,6127.6,5107.8,34921.8,50.1,36.4,883.2,9587.5,0.0,1593.4,937.8,3227.7,309.6
23,bio0_whs0_land2_list1000_bld1000,False,False,2,1000,1000,201577.9,241.3,54574.8,17822.8,51811.4,19775.8,16775.8,10393.2,2918.1,40780.8,40703.4,21114.3,11258.2,3282.3,2963.6,2185.2,2153.3,17458.6,0.0,9.1,273.1,5663.2,0.0,473.5,113.8,637.3,59.2
24,bio0_whs0_land2_list1000_bld1250,False,False,2,1000,1250,131884.5,59.2,31275.3,10115.5,33665.4,12036.7,9541.9,5977.4,1579.7,24865.5,25334.4,13898.6,5312.7,1711.7,978.8,910.5,1156.3,9259.7,0.0,0.0,100.2,3605.5,0.0,159.3,9.1,163.9,9.1
25,bio0_whs0_land2_list1500_bld250,False,False,2,1500,250,844233.5,24428.4,237423.9,77860.5,210728.3,79453.9,82563.2,37275.5,38782.3,215526.6,216082.0,133851.1,154455.5,42856.8,154578.4,108935.6,73522.1,329142.1,5754.3,11312.8,25607.5,45306.0,63.7,33633.5,24382.9,60502.0,29932.4
26,bio0_whs0_land2_list1500_bld500,False,False,2,1500,500,512765.1,3318.7,154519.2,52084.6,126498.9,50819.0,51233.3,24606.0,10903.1,120312.1,120212.0,61676.6,60907.2,15683.2,31302.6,23021.7,20354.0,85235.5,610.0,564.5,3728.5,17372.1,0.0,6642.0,4356.7,14859.2,2221.6
27,bio0_whs0_land2_list1500_bld750,False,False,2,1500,750,313490.7,646.4,92346.4,30788.2,79563.2,32049.2,29017.3,16152.1,4834.7,66943.8,66024.2,32877.8,24369.3,6746.7,8162.5,5654.1,5007.7,33947.6,36.4,22.8,755.7,8781.7,0.0,1575.1,737.5,2695.0,264.0
28,bio0_whs0_land2_list1500_bld1000,False,False,2,1500,1000,201450.4,241.3,54456.4,17809.2,51583.8,19757.6,16593.7,10293.1,2918.1,40594.2,40430.3,20954.9,11221.8,3282.3,2963.6,2098.7,2135.1,17294.8,0.0,9.1,232.2,5444.7,0.0,473.5,113.8,560.0,59.2
29,bio0_whs0_land2_list1500_bld1250,False,False,2,1500,1250,131879.9,59.2,31252.6,10115.5,33592.5,12032.1,9505.5,5959.2,1579.7,24842.7,25293.4,13866.8,5308.2,1711.7,978.8,892.3,1147.2,9246.0,0.0,0.0,72.8,3596.4,0.0,159.3,9.1,159.3,9.1
30,bio0_whs0_land3_list500_bld250,False,False,3,500,250,738612.1,26481.6,192705.2,68892.2,214324.8,67166.8,64886.1,30770.0,48501.8,222883.4,236964.1,150349.2,78479.7,28302.6,190947.9,156572.4,95373.8,560411.0,8039.6,14677.1,36856.6,47773.4,72.8,62008.9,39192.0,76531.2,40148.0
31,bio0_whs0_land3_list500_bld500,False,False,3,500,500,451307.0,3478.1,126426.1,46412.2,119706.6,42073.7,41040.3,20599.8,12027.6,118459.3,123908.6,63870.9,10525.3,3405.2,25115.9,25334.4,21897.3,95492.2,473.5,705.6,3801.3,13393.3,0.0,8016.9,3924.2,10293.1,1106.2
32,bio0_whs0_land3_list500_bld750,False,False,3,500,750,281974.1,646.4,76453.8,27587.8,73963.6,26704.7,23945.9,13652.8,4907.5,64772.2,65769.2,33087.2,824.0,218.5,3933.3,5503.9,4871.1,33446.8,0.0,36.4,537.2,7629.9,0.0,1607.0,359.6,1338.4,18.2
33,bio0_whs0_land3_list500_bld1000,False,False,3,500,1000,184378.7,241.3,45993.4,16106.6,47727.9,16630.1,13994.2,8918.2,2918.1,39173.8,39879.5,20854.8,122.9,0.0,1165.4,2107.8,2075.9,16971.5,0.0,9.1,86.5,5121.5,0.0,473.5,13.7,295.9,9.1
34,bio0_whs0_land3_list500_bld1250,False,False,3,500,1250,122292.4,59.2,26891.3,9314.3,30970.3,10347.7,8021.4,5117.0,1579.7,24014.2,24824.5,13657.3,9.1,0.0,305.0,869.5,1129.0,9063.9,0.0,0.0,18.2,3478.1,0.0,159.3,0.0,68.3,0.0
35,bio0_whs0_land3_list1000_bld250,False,False,3,1000,250,732475.4,25748.7,191872.1,68691.9,208479.4,66484.0,64471.8,30228.3,44618.6,217138.2,228150.5,141203.3,67858.8,24032.4,167420.9,131948.2,85613.4,447915.5,6510.0,13311.4,30738.1,37229.9,72.8,46557.9,27537.8,57807.0,30178.2
36,bio0_whs0_land3_list1000_bld500,False,False,3,1000,500,450565.0,3437.1,126193.9,46343.9,119096.6,41996.3,40899.2,20463.3,11690.7,117412.2,122260.6,62710.0,9528.3,3022.8,23677.3,23672.7,21246.3,90557.3,437.0,655.6,3723.9,12742.3,0.0,7420.5,3296.0,9501.0,810.3
37,bio0_whs0_land3_list1000_bld750,False,False,3,1000,750,281924.1,646.4,76426.5,27587.8,73904.5,26704.7,23927.7,13639.1,4898.4,64663.0,65637.2,32968.8,805.8,209.4,3910.6,5476.6,4862.0,33323.9,0.0,36.4,537.2,7570.7,0.0,1593.4,346.0,1333.9,18.2
38,bio0_whs0_land3_list1000_bld1000,False,False,3,1000,1000,184378.7,241.3,45993.4,16106.6,47727.9,16630.1,13994.2,8918.2,2918.1,39173.8,39879.5,20850.2,122.9,0.0,1165.4,2107.8,2075.9,16962.4,0.0,9.1,86.5,5121.5,0.0,473.5,13.7,295.9,9.1
39,bio0_whs0_land3_list1000_bld1250,False,False,3,1000,1250,122292.4,59.2,26891.3,9314.3,30970.3,10347.7,8021.4,5117.0,1579.7,24014.2,24824.5,13657.3,9.1,0.0,305.0,869.5,1129.0,9063.9,0.0,0.0,18.2,3478.1,0.0,159.3,0.0,68.3,0.0
40,bio0_whs0_land3_list1500_bld250,False,False,3,1500,250,721995.7,24428.4,190123.9,68141.1,199014.9,64890.6,63447.5,29076.5,38782.3,206266.9,213154.8,126835.8,53427.5,18287.2,129653.8,96024.8,72092.6,305282.7,4493.3,11312.8,23568.0,23663.6,63.7,30692.6,13971.5,36497.0,18965.5
41,bio0_whs0_land3_list1500_bld500,False,False,3,1500,500,448420.8,3318.7,125178.7,46102.7,117544.2,41746.0,40325.6,19944.3,10903.1,114717.2,118295.4,60078.7,8189.9,2462.9,20272.1,19684.8,19589.2,79599.6,364.2,564.5,3173.1,10857.6,0.0,6459.9,1971.2,7279.4,560.0
42,bio0_whs0_land3_list1500_bld750,False,False,3,1500,750,281396.0,646.4,76044.1,27510.4,73458.3,26627.3,23577.1,13397.9,4834.7,63952.8,64744.9,32472.6,751.2,177.5,3810.4,5212.6,4761.9,32531.8,0.0,22.8,500.8,7192.9,0.0,1575.1,254.9,1170.0,18.2
43,bio0_whs0_land3_list1500_bld1000,False,False,3,1500,1000,184251.3,241.3,45884.1,16092.9,47500.3,16616.4,13857.7,8818.1,2918.1,38987.2,39606.3,20690.9,109.3,0.0,1165.4,2044.0,2057.7,16807.6,0.0,9.1,86.5,5003.1,0.0,473.5,13.7,273.1,9.1
44,bio0_whs0_land3_list1500_bld1250,False,False,3,1500,1250,122287.9,59.2,26873.1,9314.3,30897.5,10347.7,7985.0,5098.7,1579.7,23991.4,24783.5,13625.5,9.1,0.0,305.0,851.3,1119.9,9050.3,0.0,0.0,18.2,3469.0,0.0,159.3,0.0,68.3,0.0
45,bio0_whs0_land4_list500_bld250,False,False,4,500,250,738612.1,26481.6,192705.2,68892.2,214324.8,67166.8,64886.1,30770.0,48501.8,222883.4,236964.1,150349.2,61622.0,28211.5,158643.7,139955.9,95373.8,531298.1,8039.6,14677.1,36856.6,44272.6,50.1,48920.6,29814.0,75006.2,40148.0
