combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
0,bio0_whs0_land1_list500_bld250,False,False,1,500,250,3207369,3127158,31758035616.7,3175803.6,31758.0,691.7
1,bio0_whs0_land1_list500_bld500,False,False,1,500,500,1793662,1762598,17975191593.6,1797519.2,17975.2,389.8
2,bio0_whs0_land1_list500_bld750,False,False,1,500,750,903517,891522,9249084616.9,924908.5,9249.1,197.2
3,bio0_whs0_land1_list500_bld1000,False,False,1,500,1000,541435,534528,5597077234.6,559707.7,5597.1,118.2
4,bio0_whs0_land1_list500_bld1250,False,False,1,500,1250,257347,253878,2680456702.5,268045.7,2680.5,56.2
5,bio0_whs0_land1_list1000_bld250,False,False,1,1000,250,3044201,2974305,30090578530.3,3009057.9,30090.6,657.9
6,bio0_whs0_land1_list1000_bld500,False,False,1,1000,500,1770241,1740631,17740266366.0,1774026.6,17740.3,385.0
7,bio0_whs0_land1_list1000_bld750,False,False,1,1000,750,902246,890278,9236101412.2,923610.1,9236.1,196.9
8,bio0_whs0_land1_list1000_bld1000,False,False,1,1000,1000,541335,534427,5596015575.6,559601.6,5596.0,118.2
9,bio0_whs0_land1_list1000_bld1250,False,False,1,1000,1250,257327,253859,2680290818.2,268029.1,2680.3,56.1
10,bio0_whs0_land1_list1500_bld250,False,False,1,1500,250,2804795,2748851,27637847680.4,2763784.8,27637.8,608.0
11,bio0_whs0_land1_list1500_bld500,False,False,1,1500,500,1713050,1686426,17158057001.5,1715805.7,17158.1,373.0
12,bio0_whs0_land1_list1500_bld750,False,False,1,1500,750,892428,880791,9136836297.0,913683.6,9136.8,194.8
13,bio0_whs0_land1_list1500_bld1000,False,False,1,1500,1000,538463,531641,5567262311.4,556726.2,5567.3,117.6
14,bio0_whs0_land1_list1500_bld1250,False,False,1,1500,1250,257100,253635,2678156441.3,267815.6,2678.2,56.1
15,bio0_whs0_land2_list500_bld250,False,False,2,500,250,2669317,2596796,25905563042.2,2590556.3,25905.6,574.4
16,bio0_whs0_land2_list500_bld500,False,False,2,500,500,1435195,1408210,14063033523.9,1406303.4,14063.0,311.5
17,bio0_whs0_land2_list500_bld750,False,False,2,500,750,709959,699843,7132678486.7,713267.8,7132.7,154.8
18,bio0_whs0_land2_list500_bld1000,False,False,2,500,1000,425178,419483,4326547901.7,432654.8,4326.5,92.8
19,bio0_whs0_land2_list500_bld1250,False,False,2,500,1250,203525,200691,2093049632.5,209305.0,2093.0,44.4
20,bio0_whs0_land2_list1000_bld250,False,False,2,1000,250,2521940,2458982,24404299822.9,2440430.0,24404.3,543.9
21,bio0_whs0_land2_list1000_bld500,False,False,2,1000,500,1415783,1390071,13870441948.4,1387044.2,13870.4,307.5
22,bio0_whs0_land2_list1000_bld750,False,False,2,1000,750,709106,699005,7124185214.8,712418.5,7124.2,154.6
23,bio0_whs0_land2_list1000_bld1000,False,False,2,1000,1000,425148,419456,4326304604.9,432630.5,4326.3,92.8
24,bio0_whs0_land2_list1000_bld1250,False,False,2,1000,1250,203513,200680,2092972219.9,209297.2,2093.0,44.4
25,bio0_whs0_land2_list1500_bld250,False,False,2,1500,250,2311543,2261555,22260854565.4,2226085.5,22260.9,500.2
26,bio0_whs0_land2_list1500_bld500,False,False,2,1500,500,1370667,1347640,13418396399.2,1341839.6,13418.4,298.1
27,bio0_whs0_land2_list1500_bld750,False,False,2,1500,750,702274,692439,7057223286.0,705722.3,7057.2,153.2
28,bio0_whs0_land2_list1500_bld1000,False,False,2,1500,1000,423114,417482,4306531206.3,430653.1,4306.5,92.3
29,bio0_whs0_land2_list1500_bld1250,False,False,2,1500,1250,203343,200510,2091435026.1,209143.5,2091.4,44.3
30,bio0_whs0_land3_list500_bld250,False,False,3,500,250,2215822,2154810,21593004709.4,2159300.5,21593.0,476.6
31,bio0_whs0_land3_list500_bld500,False,False,3,500,500,1194401,1172917,11777536082.2,1177753.6,11777.5,259.4
32,bio0_whs0_land3_list500_bld750,False,False,3,500,750,609536,601788,6178656239.1,617865.6,6178.7,133.1
33,bio0_whs0_land3_list500_bld1000,False,False,3,500,1000,373808,369327,3838184768.1,383818.5,3838.2,81.7
34,bio0_whs0_land3_list500_bld1250,False,False,3,500,1250,183645,181367,1907270368.9,190727.0,1907.3,40.1
35,bio0_whs0_land3_list1000_bld250,False,False,3,1000,250,2096193,2043121,20374695727.9,2037469.6,20374.7,451.9
36,bio0_whs0_land3_list1000_bld500,False,False,3,1000,500,1179879,1159346,11633216813.8,1163321.7,11633.2,256.4
37,bio0_whs0_land3_list1000_bld750,False,False,3,1000,750,608871,601135,6171932398.9,617193.2,6171.9,133.0
38,bio0_whs0_land3_list1000_bld1000,False,False,3,1000,1000,373795,369317,3838118414.4,383811.8,3838.1,81.7
39,bio0_whs0_land3_list1000_bld1250,False,False,3,1000,1250,183640,181363,1907270368.9,190727.0,1907.3,40.1
