combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
0,bio0_whs0_land1_list500_bld250,False,False,1,500,250,716238.3,12175.9,198439.5,66475.3,318060.9,76084.5,64891.7,49464.5,24549.8,166912.7,171953.4,140728.4,128196.4,98586.1,174318.9,137184.0,52286.7,286707.6,6252.7,9566.0,42308.2,46928.6,11.1,30209.7,33665.6,76192.8,47414.1
1,bio0_whs0_land1_list500_bld500,False,False,1,500,500,491969.5,2551.3,139864.7,47528.0,235536.8,54650.0,44113.0,36960.1,9054.0,103637.8,105103.1,81438.1,62123.6,55545.8,61567.4,52928.1,16250.0,90456.7,2570.1,1840.2,20713.4,18757.1,0.0,6298.1,8193.6,23718.1,24150.5
2,bio0_whs0_land1_list500_bld750,False,False,1,500,750,283637.7,525.3,75787.0,25832.6,150113.1,31975.8,23048.0,23443.9,3678.2,53516.5,54943.1,42401.1,23571.0,24758.8,16084.1,16497.7,3666.0,31751.3,1405.6,328.5,9176.7,7699.2,0.0,1234.2,861.5,4884.7,14086.9
3,bio0_whs0_land1_list500_bld1000,False,False,1,500,1000,182714.8,205.7,44023.5,15081.1,101108.6,19372.0,12986.5,15287.9,2044.8,31703.8,33933.3,25672.2,11105.4,12335.2,5549.4,6779.1,1759.5,15978.0,988.7,146.0,4796.3,4597.2,0.0,452.3,159.2,1861.2,9066.1
4,bio0_whs0_land1_list500_bld1250,False,False,1,500,1250,95731.8,26.5,19602.0,6167.6,54424.4,8901.3,5511.8,6869.8,817.3,14528.1,16436.9,12193.6,3713.6,4454.5,817.3,1770.5,645.8,5727.4,572.9,25.4,1881.1,2468.4,0.0,98.4,31.0,331.8,4296.4
5,bio0_whs0_land1_list1000_bld250,False,False,1,1000,250,713123.0,11895.0,197688.6,66312.8,315215.4,75716.2,64510.2,49031.0,22947.3,163170.4,167037.7,134868.3,122678.0,93447.0,161301.4,122738.8,48120.8,237990.8,5667.7,8841.6,39140.9,37288.6,11.1,22821.2,24758.8,60839.7,41895.7
6,bio0_whs0_land1_list1000_bld500,False,False,1,1000,500,491393.3,2514.8,139622.5,47458.4,234820.2,54533.9,43895.2,36799.8,8768.6,102660.2,103876.7,80283.5,61240.0,54479.7,59894.2,50650.0,15849.7,85998.8,2564.6,1803.7,20200.3,17039.6,0.0,5655.5,7099.8,21401.3,23522.4
7,bio0_whs0_land1_list1000_bld750,False,False,1,1000,750,283591.2,525.3,75779.2,25821.5,149952.7,31965.9,23023.6,23416.2,3677.1,53459.0,54801.5,42310.4,23550.0,24638.2,16064.2,16401.5,3664.9,31646.3,1405.6,328.5,9122.5,7607.5,0.0,1227.5,835.0,4735.4,14059.2
8,bio0_whs0_land1_list1000_bld1000,False,False,1,1000,1000,182714.8,205.7,44023.5,15081.1,101064.4,19372.0,12986.5,15287.9,2044.8,31703.8,33930.0,25672.2,11105.4,12331.8,5549.4,6779.1,1759.5,15978.0,988.7,146.0,4778.6,4597.2,0.0,452.3,159.2,1823.6,9066.1
9,bio0_whs0_land1_list1000_bld1250,False,False,1,1000,1250,95731.8,26.5,19602.0,6167.6,54415.6,8901.3,5511.8,6869.8,817.3,14528.1,16436.9,12193.6,3713.6,4454.5,817.3,1770.5,645.8,5727.4,572.9,25.4,1873.4,2468.4,0.0,98.4,31.0,331.8,4296.4
10,bio0_whs0_land1_list1500_bld250,False,False,1,1500,250,706895.7,11363.1,195852.9,65850.5,309123.0,74801.6,63740.5,47863.1,20130.6,156318.2,157557.9,124614.4,113198.3,85738.9,138303.2,101000.3,41633.6,175236.8,4703.4,7586.4,34244.0,24701.3,11.1,15310.0,12993.2,39983.6,35029.2
11,bio0_whs0_land1_list1500_bld500,False,False,1,1500,500,489386.1,2403.1,138494.5,47156.5,232594.0,54131.3,43352.2,36041.1,8227.9,100201.8,100664.1,77362.9,59072.5,51899.6,55262.7,45486.6,14721.7,76342.1,2426.3,1692.0,18784.7,13329.3,0.0,4796.3,4204.6,15985.7,21786.1
12,bio0_whs0_land1_list1500_bld750,False,False,1,1500,750,283136.7,516.5,75340.2,25668.9,149058.0,31825.4,22793.6,23102.1,3641.7,52752.3,54048.4,41803.9,23237.1,23906.1,15702.6,15782.2,3582.0,30665.4,1386.8,324.0,8863.7,6906.3,0.0,1177.8,673.5,4150.4,13637.9
